video_id,"A)Weather:
Q1.a: What was the time of day during the incident?","A)Weather:
Q1.b: What were the weather conditions during the incident?","B) Light Condition:
Q2: What was the lighting condition at the time of the incident?","C) Traffic Environment:
Q3.a: Where did the incident take place (traffic environment)?","C) Traffic Environment:
Q3.b: What facilities were present in the surrounding environment?","D) Road Configuration
Q4.a: What is the road configuration at the incident time?","D) Road Configuration
Q4.b: Road lane configuration:","D) Road Configuration
Q4.c: Lane direction of Ego-Car at time of incident:","E) Incident Type
Q5.a: What is the category of the incident?","E) Incident Type
Q5.b: Primary Incident Entity (Who caused or could have prevented the incident)?","E) Incident Type
Q5.c: If Primary Incident Entity is a vehicle, what type of vehicle is it?","E) Incident Type
Q5.e: Primary Entity Behavior:","E) Incident Type
Q5.f Secondary Incident Entity (Victim, secondary cause or entity that was hit):","E) Incident Type:
Q5.g: If Secondary Incident Entity is a vehicle, what type of vehicle is it?","E) Incident Type
Q5.i: Secondary Entity Behavior:","E) Incident Type
Q5.j: Incident peak","F) Incident Prevention Measure
Q6.a: How could this Incident most likely have been prevented by the Primary Entity?","F) Incident Prevention Measure
Q6.b: How could this incident most likely have been prevented by the Secondary Entity?","G)Initial Point of Impact
Q7.a: If the Primary Entity was a vehicle, where on the vehicle did the initial impact occur?","G)Initial Point of Impact
Q7.b: If the Primary Entity was a vehicle, what side of the impacted area was hit?","G)Initial Point of Impact
Q7.c: If the Secondary Entity was a vehicle, where on the vehicle did the initial impact occur?","G)Initial Point of Impact
Q7.d: If the Secondary Entity was a vehicle, what side of the impacted area was hit?","H) Traffic Control & Signage Presence:
Q8: What traffic control or road sign is present at the incident location?","I) Road Surface & Material Condition
Q9.a: What was the road surface condition during the incident?","I) Road Surface & Material Condition
Q9.b: What type of road material is the vehicle driving on?"
0,3,0,4,2,3,2,2,2,3,3,1,3,2,1,0,1,3,4,0,0,0,0,3,0,0
1,0,1,4,2,4,5,1,0,1,5,0,4,1,1,0,0,3,4,0,0,0,0,1,0,0
2,0,0,0,3,1,1,0,1,1,5,2,12,2,1,9,0,0,4,0,0,0,0,9,0,0
3,0,0,0,0,1,2,0,0,1,5,2,1,2,0,0,2,0,1,1,3,6,12,3,0,0
4,3,5,1,3,4,1,1,0,3,3,1,3,1,1,0,1,3,4,0,0,0,0,1,0,0
5,0,1,0,2,3,4,1,1,2,2,0,0,1,1,0,0,5,0,0,0,0,0,1,0,0
6,0,0,0,3,2,1,1,0,2,29,0,19,2,4,0,2,5,1,4,4,5,4,9,0,0
7,0,2,0,3,1,1,2,0,5,5,2,12,3,3,9,2,0,2,1,3,2,7,1,0,0
8,0,0,0,0,1,2,1,2,0,1,0,1,0,2,4,2,2,3,1,3,6,12,3,0,0
9,3,0,4,0,1,1,1,0,3,3,1,3,2,1,0,1,3,4,0,0,0,0,3,0,0
10,3,0,4,0,1,2,1,0,3,3,1,0,0,0,0,1,3,4,0,0,0,0,3,0,0
11,0,1,0,0,3,4,1,0,2,10,0,16,1,4,0,2,5,1,1,3,2,7,1,0,0
12,0,0,0,0,3,6,2,2,0,0,1,0,1,1,9,1,3,4,0,0,0,0,1,0,0
13,0,1,0,0,1,1,0,1,1,5,2,1,2,3,0,2,0,1,1,3,6,12,9,0,0
14,0,0,0,0,1,1,0,1,3,3,1,3,2,4,0,1,3,4,0,0,0,0,1,0,0
15,3,0,4,0,1,1,0,1,3,3,1,3,2,1,0,1,3,4,0,0,0,0,1,0,0
16,0,0,0,3,1,1,1,0,3,3,1,3,2,4,0,1,3,4,0,0,0,0,1,0,0
17,2,0,0,3,1,1,0,1,2,10,0,16,1,1,0,2,5,1,1,3,2,7,1,0,0
18,0,0,0,3,3,4,1,0,1,5,4,3,0,2,6,2,1,3,4,4,5,4,1,0,0
19,0,0,0,0,3,2,0,1,3,3,1,3,2,4,0,1,3,4,0,0,0,0,3,0,0
20,2,0,4,0,3,4,1,0,3,3,1,3,2,1,0,1,3,4,0,0,0,0,1,0,0
21,0,0,0,0,1,1,1,1,0,0,1,0,1,1,9,4,3,4,0,0,0,0,1,0,0
22,0,0,0,0,3,4,1,0,3,3,1,3,2,1,0,1,3,4,0,0,0,0,3,0,0
23,2,1,2,0,1,2,1,0,6,5,2,12,2,3,0,1,0,1,2,7,0,0,3,0,0
24,0,1,0,0,1,1,2,0,0,5,6,1,4,0,4,2,0,1,1,3,2,7,1,1,0
25,3,0,4,0,1,2,1,0,3,3,1,3,2,1,0,1,3,4,0,0,0,0,3,0,0
26,3,0,4,2,3,3,1,0,3,3,1,3,2,1,0,1,3,4,0,0,0,0,10,0,0
27,0,0,0,0,1,1,0,2,1,5,6,13,2,4,0,2,0,1,4,4,5,4,3,0,0
28,3,0,4,2,4,7,2,2,3,3,1,3,2,1,9,1,3,4,0,0,0,0,1,0,0
